¿¬µµ,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
2018,LG,0.293,144,5665,5070,788,1487,299,12,148,2254,740,51,51.0,418,14,75,1001,125.0,0.445,0.353,0.798,144.0,0.307,0.245
2018,·Ôµ¥,0.289,144,5764,5130,821,1484,289,17,203,2416,792,45,37.0,471,22,81,1157,124.0,0.471,0.356,0.827,144.0,0.29,0.25
2018,³Ø¼¾,0.288,144,5780,5141,825,1481,288,19,165,2302,787,32,50.0,472,25,85,1208,93.0,0.448,0.355,0.803,144.0,0.296,0.265
2018,»ï¼º,0.288,144,5766,5109,776,1471,241,29,146,2208,732,57,45.0,468,14,87,1034,115.0,0.432,0.355,0.787,144.0,0.282,0.237
2018,SK,0.281,144,5682,4992,829,1403,234,13,233,2362,791,54,34.0,483,6,119,1079,103.0,0.473,0.356,0.829,144.0,0.288,0.241
2018,ÇÑÈ­,0.275,144,5539,4972,729,1369,249,14,151,2099,668,31,28.0,420,17,88,1098,113.0,0.422,0.341,0.763,144.0,0.283,0.231
2018,KT,0.275,144,5605,5026,757,1382,264,13,206,2290,721,43,26.0,464,14,46,1109,103.0,0.456,0.34,0.796,144.0,0.273,0.262
2018,NC,0.261,144,5488,4895,660,1280,233,18,143,1978,629,35,43.0,427,15,88,1081,115.0,0.404,0.329,0.733,143.0,0.268,0.284
2019,Å°¿ò,0.282,144,5658,4991,780,1405,251,38,112,2068,741,36,48.0,514,13,69,943,122.0,0.414,0.354,0.768,144.0,0.3,0.276
2019,NC,0.278,144,5631,4968,674,1383,249,26,128,2068,639,64,60.0,456,14,83,880,126.0,0.416,0.345,0.761,144.0,0.266,0.179
2019,µÎ»ê,0.278,144,5670,4913,736,1364,235,31,84,1913,691,39,83.0,563,16,72,799,117.0,0.389,0.355,0.744,144.0,0.277,0.202
2019,KT,0.277,144,5582,4965,650,1375,187,20,103,1911,615,45,45.0,475,15,52,975,113.0,0.385,0.344,0.729,144.0,0.27,0.218
2019,LG,0.267,144,5536,4928,641,1316,233,15,94,1861,604,49,48.0,434,17,77,962,117.0,0.378,0.333,0.711,144.0,0.265,0.222
2019,KIA,0.264,144,5505,4874,605,1286,248,19,76,1800,567,31,45.0,497,13,58,919,108.0,0.369,0.336,0.705,144.0,0.256,0.19
2019,SK,0.262,144,5542,4919,655,1290,218,14,117,1887,622,35,38.0,462,20,87,966,92.0,0.384,0.334,0.718,144.0,0.278,0.252
2019,ÇÑÈ­,0.256,144,5482,4882,607,1250,223,16,88,1769,562,44,45.0,441,12,70,1090,112.0,0.362,0.324,0.686,143.0,0.255,0.187
2019,»ï¼º,0.256,144,5533,4866,622,1245,230,26,122,1893,598,58,53.0,478,15,78,976,107.0,0.389,0.329,0.718,143.0,0.254,0.204
2019,·Ôµ¥,0.25,144,5488,4919,578,1231,214,22,90,1759,545,35,40.0,429,12,65,1085,108.0,0.358,0.316,0.674,144.0,0.25,0.193
2020,µÎ»ê,0.293,144,5776,5046,816,1477,263,20,125,2155,778,38,73.0,551,20,68,796,132.0,0.427,0.365,0.792,142.0,0.291,0.246
2020,NC,0.291,144,5833,5102,888,1483,258,28,187,2358,845,46,51.0,529,21,104,997,106.0,0.462,0.366,0.828,144.0,0.33,0.286
2020,KT,0.284,144,5762,5047,813,1432,238,21,163,2201,767,64,45.0,554,20,52,1097,104.0,0.436,0.358,0.794,144.0,0.289,0.192
2020,LG,0.277,144,5681,4999,802,1384,253,29,149,2142,760,49,49.0,509,21,75,969,115.0,0.428,0.349,0.777,144.0,0.31,0.223
